AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,DistrictName,CrimeMajorHeadID,CrimeGroupName,GravityOffenceID,FIR_Count,IsRepeatOffender,RiskScore
1,1,Venkatesh Hegde,27,M,A1,Davanagere,1,Crimes Against Body,3,856,1,100
2,2,Thimmappa Hiremath,27,M,A1,Koppal,4,Crimes Against Children,2,856,1,100
3,3,Kiran Naidu,31,M,A1,Shivamogga,2,Crimes Against Property,2,856,1,100
4,3,Mohammed Bangera,36,M,A2,Shivamogga,2,Crimes Against Property,2,409,1,100
5,3,Umesh Shenoy,35,M,A3,Shivamogga,2,Crimes Against Property,2,130,1,100
6,4,Gopal Hiremath,32,M,A1,Dakshina Kannada,2,Crimes Against Property,1,856,1,100
7,5,Ravi alias Katthi Ravi,24,M,A1,Bengaluru Urban,1,Crimes Against Body,1,856,1,100
8,5,Abdul Swamy,23,M,A2,Bengaluru Urban,1,Crimes Against Body,1,409,1,100
9,6,Rashid Shetty,35,M,A1,Bengaluru Urban,8,Drug/Narcotic Offences,1,856,1,100
10,6,Mahadev Salian,23,M,A2,Bengaluru Urban,8,Drug/Narcotic Offences,1,409,1,100
11,7,Nadeem Joshi,23,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
12,8,Deepak Kumar alias Cyber Deepak,26,M,A1,Bengaluru Urban,7,Cyber Crimes,3,856,1,100
13,8,Umesh Sayyad,22,M,A2,Bengaluru Urban,7,Cyber Crimes,3,409,1,100
14,9,Vijaykumar Ansari,34,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
15,10,Kumar Menon,38,M,A1,Chikkamagaluru,2,Crimes Against Property,1,856,1,100
16,11,Girish Patel,32,M,A1,Dakshina Kannada,2,Crimes Against Property,1,856,1,100
17,11,Hanumantha Kamath,44,M,A2,Dakshina Kannada,2,Crimes Against Property,1,409,1,100
18,12,Rangaswamy Patel,25,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
19,12,Vani Char,32,F,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
20,13,Noor Nair,26,F,A1,Kalaburagi (Gulbarga),3,Crimes Against Women,2,856,1,100
21,14,Iqbal Hubli,24,M,A1,Kodagu,8,Drug/Narcotic Offences,1,856,1,100
22,15,Raju alias Bullet Raju,39,M,A1,Bengaluru Urban,2,Crimes Against Property,1,856,1,100
23,15,Nadeem Murthy,21,M,A2,Bengaluru Urban,2,Crimes Against Property,1,409,1,100
24,16,Chandrashekar Patel,33,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
25,16,Arshad Kulkarni,37,M,A2,Bengaluru Urban,1,Crimes Against Body,2,409,1,100
26,16,Vijaykumar Suvarna,33,M,A3,Bengaluru Urban,1,Crimes Against Body,2,130,1,100
27,17,Chandru Inamdar,27,M,A1,Mysuru,3,Crimes Against Women,2,856,1,100
28,17,Dinesh Bellary,25,M,A2,Mysuru,3,Crimes Against Women,2,409,1,100
29,18,Prasad alias Rowdy Prasad,31,M,A1,Bengaluru Urban,10,Crimes Against Public Order,1,856,1,100
30,18,Basavaraj Patel,29,M,A2,Bengaluru Urban,10,Crimes Against Public Order,1,409,1,100
31,19,Imran Siddiqui,34,M,A1,Mysuru,3,Crimes Against Women,2,856,1,100
32,20,Ganesh Achar,22,M,A1,Mysuru,1,Crimes Against Body,2,856,1,100
33,21,Anwar Menon,18,M,A1,Bengaluru Urban,2,Crimes Against Property,3,856,1,100
34,22,Rashid Achar,21,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
35,23,Jameel Pai,32,M,A1,Gadag,1,Crimes Against Body,2,856,1,100
36,24,Imran Maniyar,33,M,A1,Chikkamagaluru,1,Crimes Against Body,2,856,1,100
37,25,Gopal Swamy,18,M,A1,Raichur,8,Drug/Narcotic Offences,2,856,1,100
38,25,Basheer Khan,29,M,A2,Raichur,8,Drug/Narcotic Offences,2,409,1,100
39,26,Mahesh Swamy,36,M,A1,Vijayanagara,9,Arms Act Offences,2,856,1,100
40,27,Dinesh Maniyar,38,M,A1,Bengaluru Urban,4,Crimes Against Children,2,856,1,100
41,28,Raghavendra Shetty,34,M,A1,Mandya,3,Crimes Against Women,2,856,1,100
42,29,Prasad Baig,22,M,A1,Kolar,10,Crimes Against Public Order,2,856,1,100
43,30,Chandru Khan,32,M,A1,Bidar,3,Crimes Against Women,2,856,1,100
44,31,Ismail Menon,19,M,A1,Belagavi (Belgaum),2,Crimes Against Property,2,856,1,100
45,32,Jagadish Shaikh,31,M,A1,Ramanagara,1,Crimes Against Body,1,856,1,100
46,33,Umesh Joshi,39,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
47,33,Nagaraj Bhat,27,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
48,33,Manju Joshi,30,M,A3,Bengaluru Urban,2,Crimes Against Property,2,130,1,100
49,34,Roshan Patel,21,F,A1,Mysuru,3,Crimes Against Women,2,856,1,100
50,34,Mahadev Patil,19,M,A2,Mysuru,3,Crimes Against Women,2,409,1,100
51,34,Rashid Hegde,40,M,A3,Mysuru,3,Crimes Against Women,2,130,1,100
52,34,Rangaswamy Ansari,18,M,A4,Mysuru,3,Crimes Against Women,2,44,1,100
53,34,Aslam Inamdar,30,M,A5,Mysuru,3,Crimes Against Women,2,28,1,100
54,34,Hanumantha Hegde,18,M,A6,Mysuru,3,Crimes Against Women,2,16,1,100
55,34,Akbar Bhat,19,M,A7,Mysuru,3,Crimes Against Women,2,11,1,100
56,34,Kumar Gowda,30,M,A8,Mysuru,3,Crimes Against Women,2,6,1,100
57,35,Aslam Suvarna,31,M,A1,Bengaluru Urban,2,Crimes Against Property,3,856,1,100
58,36,Ganesh Murthy,28,M,A1,Mysuru,6,Economic Offences,2,856,1,100
59,37,Ganesh Kulkarni,21,M,A1,Chikkamagaluru,2,Crimes Against Property,2,856,1,100
60,37,Mahadev Devadiga,21,M,A2,Chikkamagaluru,2,Crimes Against Property,2,409,1,100
61,38,Hussain Inamdar,27,M,A1,Ballari (Bellary),2,Crimes Against Property,2,856,1,100
62,38,Ganesh Nayak,27,M,A2,Ballari (Bellary),2,Crimes Against Property,2,409,1,100
63,39,Nagaraj Nayak,40,M,A1,Davanagere,1,Crimes Against Body,1,856,1,100
64,39,Siddappa Menon,37,M,A2,Davanagere,1,Crimes Against Body,1,409,1,100
65,40,Chandru alias Chinna,30,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
66,40,Saleem Menon,23,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
67,41,Nandini Siddiqui,37,F,A1,Mysuru,14,Sexual Offences,2,856,1,100
68,41,Mohan Nair,30,M,A2,Mysuru,14,Sexual Offences,2,409,1,100
69,42,Santosh Ahmed,34,M,A1,Mysuru,8,Drug/Narcotic Offences,2,856,1,100
70,42,Manju Khan,33,M,A2,Mysuru,8,Drug/Narcotic Offences,2,409,1,100
71,42,Yogesh Achar,37,M,A3,Mysuru,8,Drug/Narcotic Offences,2,130,1,100
72,43,Dinesh Ali,26,M,A1,Davanagere,15,Other IPC Crimes,2,856,1,100
73,44,Vinay Gowda,40,M,A1,Tumakuru,2,Crimes Against Property,2,856,1,100
74,45,Jameel Bellary,27,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
75,45,Basavaraj Sheikh,32,M,A2,Bengaluru Urban,1,Crimes Against Body,2,409,1,100
76,46,Kiran Maniyar,41,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
77,46,Ravi Inamdar,18,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
78,46,Ismail Qureshi,44,M,A3,Bengaluru Urban,2,Crimes Against Property,2,130,1,100
79,47,Anwar Suvarna,29,M,A1,Bengaluru Urban,7,Cyber Crimes,2,856,1,100
80,48,Mahadev Nayak,29,M,A1,Belagavi (Belgaum),15,Other IPC Crimes,2,856,1,100
81,48,Mohan M Nair,24,M,A2,Belagavi (Belgaum),15,Other IPC Crimes,2,409,1,100
82,49,Anil Kulkarni,22,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
83,50,Prasad Patil,27,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
84,50,Abdul Reddy,29,M,A2,Bengaluru Urban,3,Crimes Against Women,2,409,1,100
85,51,Rakesh Siddiqui,27,M,A1,Dakshina Kannada,4,Crimes Against Children,1,856,1,100
86,51,Shivakumar Char,29,M,A2,Dakshina Kannada,4,Crimes Against Children,1,409,1,100
87,52,Shivakumar Menon,36,M,A1,Dakshina Kannada,3,Crimes Against Women,2,856,1,100
88,52,Aslam Naidu,35,M,A2,Dakshina Kannada,3,Crimes Against Women,2,409,1,100
89,53,Anil Swamy,27,M,A1,Kalaburagi (Gulbarga),2,Crimes Against Property,2,856,1,100
90,54,Suresh Kini,18,M,A1,Bengaluru Urban,5,Crimes Against SCs/STs,1,856,1,100
91,55,Shankar Mulla,25,M,A1,Bengaluru Urban,6,Economic Offences,1,856,1,100
92,56,Yogesh Shetty,39,M,A1,Vijayanagara,8,Drug/Narcotic Offences,2,856,1,100
93,56,Vijaykumar Naidu,29,M,A2,Vijayanagara,8,Drug/Narcotic Offences,2,409,1,100
94,57,Imran Patel,34,M,A1,Bengaluru Urban,7,Cyber Crimes,2,856,1,100
95,58,Iqbal Menon,25,M,A1,Uttara Kannada,2,Crimes Against Property,1,856,1,100
96,59,Ravi Poojary,33,M,A1,Mandya,11,Traffic Related Offences,2,856,1,100
97,60,Kiran Poojary,25,M,A1,Dharwad,3,Crimes Against Women,2,856,1,100
98,61,Lokesh Prabhu,37,M,A1,Ballari (Bellary),1,Crimes Against Body,1,856,1,100
99,62,Deepak Hiremath,18,M,A1,Bagalkote,11,Traffic Related Offences,2,856,1,100
100,63,Shivakumar Nayak,30,M,A1,Mysuru,10,Crimes Against Public Order,2,856,1,100
101,64,Akbar Nayak,29,M,A1,Bengaluru Urban,10,Crimes Against Public Order,1,856,1,100
102,65,Santhosh Baig,43,M,A1,Bengaluru Rural,1,Crimes Against Body,3,856,1,100
103,66,Mallesh Bangera,31,M,A1,Bengaluru Urban,8,Drug/Narcotic Offences,2,856,1,100
104,67,Kempe Khan,36,M,A1,Uttara Kannada,1,Crimes Against Body,2,856,1,100
105,67,Venkatesh Khan,26,M,A2,Uttara Kannada,1,Crimes Against Body,2,409,1,100
106,67,Suresh Murthy,28,M,A3,Uttara Kannada,1,Crimes Against Body,2,130,1,100
107,68,Suresh B Kini,22,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
108,68,Mallesh Rao,29,M,A2,Bengaluru Urban,1,Crimes Against Body,2,409,1,100
109,68,Chandru Sayyad,30,M,A3,Bengaluru Urban,1,Crimes Against Body,2,130,1,100
110,69,Yogesh Poojary,30,M,A1,Bengaluru Urban,6,Economic Offences,3,856,1,100
111,69,Divya Suvarna,29,F,A2,Bengaluru Urban,6,Economic Offences,3,409,1,100
112,70,Kumar Naidu,30,M,A1,Mysuru,2,Crimes Against Property,2,856,1,100
113,71,Byre Achar,25,M,A1,Gadag,11,Traffic Related Offences,2,856,1,100
114,71,Mallesh Nair,35,M,A2,Gadag,11,Traffic Related Offences,2,409,1,100
115,71,Jameel Hiremath,21,M,A3,Gadag,11,Traffic Related Offences,2,130,1,100
116,72,Madhu Bhat,31,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
117,73,Chandru alias Chinna,31,M,A1,Shivamogga,2,Crimes Against Property,2,856,1,100
118,73,Kumar Qureshi,37,T,A2,Shivamogga,2,Crimes Against Property,2,409,1,100
119,74,Ningappa Hiremath,35,M,A1,Haveri,2,Crimes Against Property,2,856,1,100
120,75,Dinesh Nair,18,M,A1,Dakshina Kannada,10,Crimes Against Public Order,2,856,1,100
121,76,Saleem Joshi,36,M,A1,Haveri,2,Crimes Against Property,3,856,1,100
122,76,Mohammed Naidu,33,M,A2,Haveri,2,Crimes Against Property,3,409,1,100
123,76,Kempe Rao,35,M,A3,Haveri,2,Crimes Against Property,3,130,1,100
124,76,Madhu Ali,28,M,A4,Haveri,2,Crimes Against Property,3,44,1,100
125,77,Manjunath Menon,29,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
126,77,Chandru Nayak,18,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
127,77,Prasad Sheikh,39,M,A3,Bengaluru Urban,2,Crimes Against Property,2,130,1,100
128,77,Nadeem Patil,31,M,A4,Bengaluru Urban,2,Crimes Against Property,2,44,1,100
129,78,Faisal Nadaf,19,M,A1,Bagalkote,7,Cyber Crimes,1,856,1,100
130,78,Ramesh Kamath,25,M,A2,Bagalkote,7,Cyber Crimes,1,409,1,100
131,79,Raghavendra J Shetty,31,M,A1,Mysuru,3,Crimes Against Women,2,856,1,100
132,80,Faiz Shetty,28,M,A1,Mandya,10,Crimes Against Public Order,2,856,1,100
133,80,Imran Bangera,25,M,A2,Mandya,10,Crimes Against Public Order,2,409,1,100
134,81,Saleem Suvarna,40,M,A1,Tumakuru,6,Economic Offences,2,856,1,100
135,82,Aslam Menon,26,M,A1,Mysuru,2,Crimes Against Property,2,856,1,100
136,82,Thimmappa Salian,25,M,A2,Mysuru,2,Crimes Against Property,2,409,1,100
137,83,Ashok Rao,28,M,A1,Yadgir,3,Crimes Against Women,1,856,1,100
138,84,Syed Bellary,25,M,A1,Bagalkote,2,Crimes Against Property,1,856,1,100
139,84,Suma Desai,20,F,A2,Bagalkote,2,Crimes Against Property,1,409,1,100
140,84,Gopal Nair,29,M,A3,Bagalkote,2,Crimes Against Property,1,130,1,100
141,85,Aslam Qureshi,27,M,A1,Chamarajanagara,2,Crimes Against Property,2,856,1,100
142,85,Ismail Nayak,18,M,A2,Chamarajanagara,2,Crimes Against Property,2,409,1,100
143,86,Prasad Char,27,T,A1,Dakshina Kannada,3,Crimes Against Women,1,856,1,100
144,86,Deepak Naidu,29,M,A2,Dakshina Kannada,3,Crimes Against Women,1,409,1,100
145,86,Arshad Char,35,M,A3,Dakshina Kannada,3,Crimes Against Women,1,130,1,100
146,87,Santhosh Reddy,31,M,A1,Bengaluru Rural,3,Crimes Against Women,1,856,1,100
147,88,Faisal Shaikh,23,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
148,89,Mahesh Ahmed,20,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
149,90,Zubaida Nadaf,30,F,A1,Bidar,9,Arms Act Offences,2,856,1,100
150,91,Rashid Kotian,24,M,A1,Bengaluru Urban,8,Drug/Narcotic Offences,2,856,1,100
151,91,Mallesh Murthy,37,M,A2,Bengaluru Urban,8,Drug/Narcotic Offences,2,409,1,100
152,91,Rajesh Menon,21,M,A3,Bengaluru Urban,8,Drug/Narcotic Offences,2,130,1,100
153,91,Nasreen Sheikh,28,F,A4,Bengaluru Urban,8,Drug/Narcotic Offences,2,44,1,100
154,91,Rehana Kotian,20,F,A5,Bengaluru Urban,8,Drug/Narcotic Offences,2,28,1,100
155,91,Arshad Bangera,30,M,A6,Bengaluru Urban,8,Drug/Narcotic Offences,2,16,1,100
156,91,Manju Ahmed,26,M,A7,Bengaluru Urban,8,Drug/Narcotic Offences,2,11,1,100
157,91,Darshan Khan,29,M,A8,Bengaluru Urban,8,Drug/Narcotic Offences,2,6,1,100
158,92,Satish Patel,21,M,A1,Udupi,2,Crimes Against Property,2,856,1,100
159,92,Lakshmi Ahmed,35,F,A2,Udupi,2,Crimes Against Property,2,409,1,100
160,92,Hanumantha Hiremath,27,M,A3,Udupi,2,Crimes Against Property,2,130,1,100
161,93,Gururaj Achar,24,M,A1,Chikkamagaluru,2,Crimes Against Property,2,856,1,100
162,94,Rakesh alias Rocky,29,M,A1,Bidar,1,Crimes Against Body,2,856,1,100
163,94,Ashok Patel,31,M,A2,Bidar,1,Crimes Against Body,2,409,1,100
164,95,Rajesh Char,26,M,A1,Bengaluru Urban,11,Traffic Related Offences,1,856,1,100
165,96,Imran Mulla,27,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
166,96,Kempe Baig,28,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
167,96,Rangaswamy Pai,32,M,A3,Bengaluru Urban,2,Crimes Against Property,2,130,1,100
168,96,Abdul Shaikh,18,M,A4,Bengaluru Urban,2,Crimes Against Property,2,44,1,100
169,97,Srinivas Shetty,38,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
170,97,Gururaj Sheikh,29,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
171,98,Darshan Nair,32,M,A1,Bengaluru Urban,3,Crimes Against Women,1,856,1,100
172,99,Raghavendra Suvarna,36,M,A1,Davanagere,2,Crimes Against Property,3,856,1,100
173,100,Nadeem Baig,23,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
174,100,Mahadev Sheikh,27,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
175,101,Dinesh Achar,23,M,A1,Bengaluru Urban,10,Crimes Against Public Order,1,856,1,100
176,102,Thimmappa Nadaf,37,M,A1,Bidar,11,Traffic Related Offences,2,856,1,100
177,103,Shabbir Salian,31,M,A1,Bengaluru Urban,3,Crimes Against Women,1,856,1,100
178,104,Shabbir Nair,29,M,A1,Chamarajanagara,13,Crimes Related to Documents/Property,1,856,1,100
179,104,Mallesh Kotian,34,M,A2,Chamarajanagara,13,Crimes Related to Documents/Property,1,409,1,100
180,104,Basheer Kini,29,M,A3,Chamarajanagara,13,Crimes Related to Documents/Property,1,130,1,100
181,104,Mahadeva Char,29,M,A4,Chamarajanagara,13,Crimes Related to Documents/Property,1,44,1,100
182,105,Nasreen Devadiga,22,F,A1,Uttara Kannada,6,Economic Offences,2,856,1,100
183,105,Arshad Swamy,37,M,A2,Uttara Kannada,6,Economic Offences,2,409,1,100
184,105,Harish Hosur,45,M,A3,Uttara Kannada,6,Economic Offences,2,130,1,100
185,105,Irfan Nadaf,25,M,A4,Uttara Kannada,6,Economic Offences,2,44,1,100
186,106,Deepak N Hiremath,18,M,A1,Tumakuru,7,Cyber Crimes,2,856,1,100
187,107,Saleem W Menon,20,M,A1,Vijayapura,11,Traffic Related Offences,2,856,1,100
188,108,Ravi Hegde,20,M,A1,Mysuru,2,Crimes Against Property,2,856,1,100
189,109,Girish Nayak,33,M,A1,Koppal,11,Traffic Related Offences,2,856,1,100
190,109,Darshan Shaikh,29,M,A2,Koppal,11,Traffic Related Offences,2,409,1,100
191,109,Jameel Ali,18,M,A3,Koppal,11,Traffic Related Offences,2,130,1,100
192,109,Santhosh Rao,42,M,A4,Koppal,11,Traffic Related Offences,2,44,1,100
193,109,Mohammed Maniyar,28,M,A5,Koppal,11,Traffic Related Offences,2,28,1,100
194,109,Chandrashekar Shetty,33,M,A6,Koppal,11,Traffic Related Offences,2,16,1,100
195,110,Gopal Baig,29,M,A1,Dharwad,7,Cyber Crimes,2,856,1,100
