id,account_no,bank_name,ifsc
BANK_1,34569267,ICICI,IFSC7686
BANK_2,06061363,ICICI,IFSC9713
BANK_3,12390144,SBI,IFSC5672
BANK_4,88647784,SBI,IFSC3747
BANK_5,84056958,SBI,IFSC6512
BANK_6,58490774,HDFC,IFSC6620
BANK_7,72628556,ICICI,IFSC2394
BANK_8,57156924,ICICI,IFSC5907
BANK_9,75250543,ICICI,IFSC1259
BANK_10,05241395,HDFC,IFSC7061
BANK_11,09165268,ICICI,IFSC3897
BANK_12,13166691,SBI,IFSC1157
BANK_13,65749174,ICICI,IFSC3887
BANK_14,72167644,ICICI,IFSC5304
BANK_15,95534996,HDFC,IFSC8403
BANK_16,03471035,Axis,IFSC2374
BANK_17,02516537,ICICI,IFSC5025
BANK_18,15779454,HDFC,IFSC8783
BANK_19,90698362,Axis,IFSC5255
BANK_20,46125327,ICICI,IFSC6597
BANK_21,91987893,HDFC,IFSC5788
BANK_22,16792406,SBI,IFSC1556
BANK_23,53448758,Axis,IFSC6151
BANK_24,30514499,SBI,IFSC7674
BANK_25,89542929,Axis,IFSC7170
BANK_26,75082407,HDFC,IFSC8488
BANK_27,34908060,ICICI,IFSC3471
BANK_28,96731435,ICICI,IFSC7346
BANK_29,16329487,Axis,IFSC6924
BANK_30,17876991,SBI,IFSC5434
BANK_31,95980392,SBI,IFSC3813
BANK_32,54397886,ICICI,IFSC2641
BANK_33,68981369,SBI,IFSC2301
BANK_34,48982408,SBI,IFSC2335
BANK_35,17388633,ICICI,IFSC1132
BANK_36,02570834,Axis,IFSC8012
BANK_37,35048232,SBI,IFSC2977
BANK_38,42995505,HDFC,IFSC1788
BANK_39,57453788,ICICI,IFSC9331
BANK_40,73887309,Axis,IFSC4972
BANK_41,83737454,ICICI,IFSC4195
BANK_42,51925669,SBI,IFSC3860
BANK_43,24750035,HDFC,IFSC7840
BANK_44,20924475,SBI,IFSC2072
BANK_45,12204158,ICICI,IFSC3550
BANK_46,02735519,Axis,IFSC3685
BANK_47,77364903,Axis,IFSC7899
BANK_48,11783869,ICICI,IFSC4334
BANK_49,85632345,Axis,IFSC5045
BANK_50,07449897,SBI,IFSC4492
BANK_51,52397283,SBI,IFSC4293
BANK_52,04963072,ICICI,IFSC2386
BANK_53,33902837,HDFC,IFSC7154
BANK_54,95996901,Axis,IFSC7656
BANK_55,89800201,Axis,IFSC1346
BANK_56,83901382,Axis,IFSC7460
BANK_57,43921706,SBI,IFSC6014
BANK_58,77058805,HDFC,IFSC8474
BANK_59,68539573,HDFC,IFSC3785
BANK_60,86688141,ICICI,IFSC6952
BANK_61,44514097,Axis,IFSC1235
BANK_62,11350800,SBI,IFSC4819
BANK_63,81321746,Axis,IFSC9637
BANK_64,52708890,Axis,IFSC6833
BANK_65,15115983,ICICI,IFSC5788
BANK_66,81916187,HDFC,IFSC6543
BANK_67,55479180,ICICI,IFSC3999
BANK_68,84974531,ICICI,IFSC4306
BANK_69,43653992,SBI,IFSC5367
BANK_70,93888869,HDFC,IFSC8957
BANK_71,79068188,ICICI,IFSC3639
BANK_72,39496327,HDFC,IFSC4855
BANK_73,12929777,ICICI,IFSC7275
BANK_74,72738840,HDFC,IFSC4522
BANK_75,46093032,SBI,IFSC4152
BANK_76,55276056,ICICI,IFSC6479
BANK_77,19070254,Axis,IFSC6085
BANK_78,10214558,SBI,IFSC7028
BANK_79,85637868,SBI,IFSC2368
BANK_80,38764162,Axis,IFSC5947
BANK_81,81110208,Axis,IFSC2444
BANK_82,68063095,ICICI,IFSC6480
BANK_83,23314204,HDFC,IFSC7495
BANK_84,35620436,HDFC,IFSC4268
BANK_85,54678578,HDFC,IFSC6407
BANK_86,93182011,HDFC,IFSC8574
BANK_87,96130227,ICICI,IFSC8538
BANK_88,42774604,HDFC,IFSC1430
BANK_89,92575762,Axis,IFSC2368
BANK_90,06951882,HDFC,IFSC4110
BANK_91,28261234,ICICI,IFSC7098
BANK_92,06237699,Axis,IFSC9952
BANK_93,72914425,Axis,IFSC4292
BANK_94,18380492,Axis,IFSC9191
BANK_95,57424498,Axis,IFSC2482
BANK_96,96786079,ICICI,IFSC6506
BANK_97,84212415,SBI,IFSC5956
BANK_98,64139088,ICICI,IFSC6428
BANK_99,00086948,HDFC,IFSC2592
BANK_100,90346423,ICICI,IFSC4372
