id,name_en,name_kn,age,gender,district_id,risk_score,is_repeat_offender
PERSON_ACCUSED_1,Venkatesh Hegde,Venkatesh Hegde,27,Male,DIST_1,45,
PERSON_ACCUSED_2,Thimmappa Hiremath,Thimmappa Hiremath,27,Male,DIST_1,45,
PERSON_ACCUSED_3,Kiran Naidu,Kiran Naidu,31,Male,DIST_1,45,
PERSON_ACCUSED_4,Mohammed Bangera,Mohammed Bangera,36,Male,DIST_1,45,
PERSON_ACCUSED_5,Umesh Shenoy,Umesh Shenoy,35,Male,DIST_1,45,
PERSON_ACCUSED_6,Gopal Hiremath,Gopal Hiremath,32,Male,DIST_1,45,
PERSON_ACCUSED_7,Ravi alias Katthi Ravi,Ravi alias Katthi Ravi,24,Male,DIST_1,81,1
PERSON_ACCUSED_8,Abdul Swamy,Abdul Swamy,23,Male,DIST_1,45,
PERSON_ACCUSED_9,Rashid Shetty,Rashid Shetty,35,Male,DIST_1,45,
PERSON_ACCUSED_10,Mahadev Salian,Mahadev Salian,23,Male,DIST_1,45,
PERSON_ACCUSED_11,Nadeem Joshi,Nadeem Joshi,23,Male,DIST_1,45,
PERSON_ACCUSED_12,Deepak Kumar alias Cyber Deepak,Deepak Kumar alias Cyber Deepak,26,Male,DIST_1,81,1
PERSON_ACCUSED_13,Umesh Sayyad,Umesh Sayyad,22,Male,DIST_1,45,
PERSON_ACCUSED_14,Vijaykumar Ansari,Vijaykumar Ansari,34,Male,DIST_1,45,
PERSON_ACCUSED_15,Kumar Menon,Kumar Menon,38,Male,DIST_1,45,
PERSON_ACCUSED_16,Girish Patel,Girish Patel,32,Male,DIST_1,45,
PERSON_ACCUSED_17,Hanumantha Kamath,Hanumantha Kamath,44,Male,DIST_1,45,
PERSON_ACCUSED_18,Rangaswamy Patel,Rangaswamy Patel,25,Male,DIST_1,45,
PERSON_ACCUSED_19,Vani Char,Vani Char,32,Female,DIST_1,45,
PERSON_ACCUSED_20,Noor Nair,Noor Nair,26,Female,DIST_1,45,
PERSON_ACCUSED_21,Iqbal Hubli,Iqbal Hubli,24,Male,DIST_1,45,
PERSON_ACCUSED_22,Raju alias Bullet Raju,Raju alias Bullet Raju,39,Male,DIST_1,97,1
PERSON_ACCUSED_23,Nadeem Murthy,Nadeem Murthy,21,Male,DIST_1,45,
