id,number,provider
PHONE_1,(481) 653-3524,Vi
PHONE_2,(936) 828-0330,BSNL
PHONE_3,(664) 785-5889,BSNL
PHONE_4,(766) 622-3003,Jio
PHONE_5,(834) 673-2693,Vi
PHONE_6,(359) 727-6354,Jio
PHONE_7,(221) 273-5302,BSNL
PHONE_8,(876) 223-7197,Airtel
PHONE_9,(438) 593-1532,Vi
PHONE_10,(675) 868-3932,Vi
PHONE_11,(513) 548-0476,BSNL
PHONE_12,(453) 872-3156,Airtel
PHONE_13,(610) 526-9919,Jio
PHONE_14,(705) 430-1120,Vi
PHONE_15,(679) 383-5018,BSNL
PHONE_16,(318) 642-3848,Vi
PHONE_17,(398) 441-8353,BSNL
PHONE_18,(459) 480-0148,Jio
PHONE_19,(513) 299-2203,Jio
PHONE_20,(918) 309-0521,Vi
PHONE_21,(657) 882-4324,Jio
PHONE_22,(319) 786-1995,Vi
PHONE_23,(638) 740-5771,Jio
PHONE_24,(798) 891-5127,Airtel
PHONE_25,(558) 857-8878,Airtel
PHONE_26,(353) 263-4880,Jio
PHONE_27,(508) 343-9405,Airtel
PHONE_28,(462) 462-3520,BSNL
PHONE_29,(335) 315-8503,Jio
PHONE_30,(769) 492-5641,Airtel
PHONE_31,(464) 764-9533,Airtel
PHONE_32,(364) 278-5879,Vi
PHONE_33,(690) 743-5811,Vi
PHONE_34,(550) 443-5105,BSNL
PHONE_35,(604) 846-6386,Vi
PHONE_36,(875) 577-6393,Vi
PHONE_37,(345) 689-7221,Airtel
PHONE_38,(887) 534-4352,Vi
PHONE_39,(220) 907-0936,Jio
PHONE_40,(647) 281-7153,BSNL
PHONE_41,(551) 471-4436,Airtel
PHONE_42,(575) 645-5317,Vi
PHONE_43,(592) 314-9718,Jio
PHONE_44,(655) 287-0580,Airtel
PHONE_45,(722) 657-8859,Airtel
PHONE_46,(299) 326-8549,BSNL
PHONE_47,(560) 964-4528,BSNL
PHONE_48,(590) 650-9524,BSNL
PHONE_49,(820) 324-0201,Airtel
PHONE_50,(245) 889-9763,BSNL
PHONE_51,(804) 359-0401,BSNL
PHONE_52,(390) 447-3501,Jio
PHONE_53,(903) 243-9639,BSNL
PHONE_54,(738) 306-8111,Airtel
PHONE_55,(493) 561-2659,Vi
PHONE_56,(441) 339-5274,Vi
PHONE_57,(607) 606-6993,BSNL
PHONE_58,(630) 366-8484,Vi
PHONE_59,(245) 304-8014,Airtel
PHONE_60,(276) 937-9210,Jio
PHONE_61,(810) 917-5787,Vi
PHONE_62,(768) 953-2692,BSNL
PHONE_63,(811) 680-2181,Jio
PHONE_64,(955) 243-4708,Vi
PHONE_65,(238) 411-0683,Jio
PHONE_66,(759) 757-2569,BSNL
PHONE_67,(652) 516-9794,Vi
PHONE_68,(258) 555-1776,BSNL
PHONE_69,(466) 392-9272,Airtel
PHONE_70,(948) 819-1059,Jio
PHONE_71,(230) 552-3611,Jio
PHONE_72,(227) 653-0482,BSNL
PHONE_73,(960) 280-0109,Vi
PHONE_74,(794) 539-9886,BSNL
PHONE_75,(600) 842-3380,Vi
PHONE_76,(642) 476-1386,Airtel
PHONE_77,(981) 481-3263,Jio
PHONE_78,(239) 790-2094,Airtel
PHONE_79,(898) 547-2859,Vi
PHONE_80,(956) 481-4980,Vi
PHONE_81,(279) 679-2850,Airtel
PHONE_82,(611) 457-9835,Airtel
PHONE_83,(405) 624-6052,Jio
PHONE_84,(811) 403-6872,Airtel
PHONE_85,(706) 987-2209,Airtel
PHONE_86,(752) 803-2421,Airtel
PHONE_87,(247) 595-5301,Jio
PHONE_88,(566) 800-9359,Vi
PHONE_89,(435) 701-6142,BSNL
PHONE_90,(754) 576-8904,Jio
PHONE_91,(662) 442-4533,Airtel
PHONE_92,(382) 269-1003,Airtel
PHONE_93,(200) 813-8771,Vi
PHONE_94,(791) 973-8193,Vi
PHONE_95,(291) 443-5508,Airtel
PHONE_96,(524) 896-6953,Airtel
PHONE_97,(236) 252-8156,Jio
PHONE_98,(737) 446-0962,Vi
PHONE_99,(703) 950-7996,Jio
PHONE_100,(738) 380-6566,BSNL
PHONE_101,(736) 420-0958,Jio
PHONE_102,(492) 211-8607,Jio
PHONE_103,(745) 657-8803,Vi
PHONE_104,(860) 637-5893,Vi
PHONE_105,(502) 912-6351,Vi
PHONE_106,(534) 910-0443,Vi
PHONE_107,(663) 733-2929,BSNL
PHONE_108,(829) 932-8628,Vi
PHONE_109,(582) 845-0541,Jio
PHONE_110,(269) 493-1733,Jio
PHONE_111,(206) 830-6545,Airtel
PHONE_112,(260) 479-8526,BSNL
PHONE_113,(770) 486-7491,BSNL
PHONE_114,(548) 444-5067,Jio
PHONE_115,(852) 977-2182,BSNL
PHONE_116,(962) 247-0648,Vi
PHONE_117,(875) 369-2338,Jio
PHONE_118,(491) 796-8889,Airtel
PHONE_119,(508) 804-4297,Jio
PHONE_120,(693) 259-7975,BSNL
PHONE_121,(345) 379-6660,BSNL
PHONE_122,(964) 252-1245,Airtel
PHONE_123,(229) 985-6562,Jio
PHONE_124,(224) 584-5392,Airtel
PHONE_125,(722) 255-7820,BSNL
PHONE_126,(874) 858-2782,BSNL
PHONE_127,(765) 883-9346,BSNL
PHONE_128,(576) 301-1412,Vi
PHONE_129,(546) 608-3699,BSNL
PHONE_130,(601) 543-9865,Vi
PHONE_131,(223) 497-7983,Jio
PHONE_132,(433) 670-1309,Airtel
PHONE_133,(770) 378-1556,Airtel
PHONE_134,(378) 300-2203,Vi
PHONE_135,(644) 706-6880,BSNL
PHONE_136,(788) 636-9379,Airtel
PHONE_137,(451) 519-6802,Vi
PHONE_138,(582) 427-7493,BSNL
PHONE_139,(489) 955-6681,Airtel
PHONE_140,(290) 807-0419,Airtel
PHONE_141,(792) 961-9601,Jio
PHONE_142,(464) 964-2701,BSNL
PHONE_143,(928) 262-2869,Jio
PHONE_144,(522) 988-2479,Vi
PHONE_145,(571) 603-6170,Vi
PHONE_146,(432) 681-1488,BSNL
PHONE_147,(358) 401-0540,Jio
PHONE_148,(963) 492-6803,Jio
PHONE_149,(531) 636-1500,BSNL
PHONE_150,(207) 210-3775,Vi
PHONE_151,(285) 540-7150,Airtel
PHONE_152,(427) 539-3078,BSNL
PHONE_153,(896) 977-2010,BSNL
PHONE_154,(486) 681-5462,Jio
PHONE_155,(823) 897-5844,Airtel
PHONE_156,(582) 424-8331,Vi
PHONE_157,(203) 398-2232,Vi
PHONE_158,(384) 879-4324,Vi
PHONE_159,(499) 997-5906,Jio
PHONE_160,(942) 692-0185,Jio
PHONE_161,(702) 383-6006,Vi
PHONE_162,(310) 749-6146,Airtel
PHONE_163,(522) 691-4715,Airtel
PHONE_164,(637) 709-2528,Vi
PHONE_165,(556) 200-8616,Jio
PHONE_166,(970) 656-4547,Vi
PHONE_167,(382) 775-5926,Vi
PHONE_168,(783) 987-4360,Airtel
PHONE_169,(545) 995-9026,Jio
PHONE_170,(211) 626-1125,BSNL
PHONE_171,(377) 464-9351,Vi
PHONE_172,(362) 442-6142,BSNL
PHONE_173,(505) 338-8128,BSNL
PHONE_174,(902) 648-0478,Airtel
PHONE_175,(279) 522-7641,Airtel
PHONE_176,(309) 339-2441,Vi
PHONE_177,(765) 270-8326,Vi
PHONE_178,(557) 803-0077,Airtel
PHONE_179,(629) 738-3919,Vi
PHONE_180,(388) 323-3576,Airtel
PHONE_181,(897) 898-8209,Vi
PHONE_182,(452) 636-4013,BSNL
PHONE_183,(214) 558-2583,BSNL
PHONE_184,(824) 377-6435,BSNL
PHONE_185,(277) 711-4667,Vi
PHONE_186,(528) 901-0066,BSNL
PHONE_187,(287) 322-7164,Vi
PHONE_188,(523) 756-1932,Airtel
PHONE_189,(671) 908-7830,Vi
PHONE_190,(519) 592-9758,BSNL
PHONE_191,(678) 648-0411,Vi
PHONE_192,(811) 325-5553,Jio
PHONE_193,(658) 747-0969,BSNL
PHONE_194,(423) 259-0334,Jio
PHONE_195,(796) 287-7614,BSNL
PHONE_196,(971) 568-0273,Airtel
PHONE_197,(878) 316-5206,Jio
PHONE_198,(290) 787-9441,Vi
PHONE_199,(582) 853-2995,BSNL
PHONE_200,(696) 857-6392,BSNL
PHONE_201,(374) 870-1091,BSNL
PHONE_202,(454) 699-4505,Jio
PHONE_203,(447) 405-4270,BSNL
PHONE_204,(856) 983-3508,BSNL
PHONE_205,(241) 935-6896,Jio
PHONE_206,(396) 548-4214,Airtel
PHONE_207,(766) 812-4290,Airtel
PHONE_208,(327) 845-6864,Airtel
PHONE_209,(764) 527-2033,Airtel
PHONE_210,(269) 305-1334,Vi
PHONE_211,(203) 336-3707,BSNL
PHONE_212,(553) 602-3093,Airtel
PHONE_213,(587) 730-8926,BSNL
PHONE_214,(970) 763-9494,BSNL
PHONE_215,(903) 450-3521,Vi
PHONE_216,(994) 850-4926,BSNL
PHONE_217,(799) 273-6504,Vi
PHONE_218,(824) 997-3699,Jio
PHONE_219,(439) 798-0234,Vi
PHONE_220,(263) 846-2306,BSNL
PHONE_221,(627) 483-7558,BSNL
PHONE_222,(829) 863-1920,Jio
PHONE_223,(957) 829-2460,Jio
PHONE_224,(325) 294-7102,Vi
PHONE_225,(996) 536-6984,Vi
PHONE_226,(521) 383-4275,Airtel
PHONE_227,(858) 542-3875,Vi
PHONE_228,(995) 210-0425,Airtel
PHONE_229,(894) 721-6283,Jio
PHONE_230,(680) 571-0574,Jio
PHONE_231,(838) 330-9289,BSNL
PHONE_232,(897) 489-3612,Jio
PHONE_233,(631) 783-4206,BSNL
